Nome da Empresa/Fornecedor,"Contato (Telefone, WhatsApp, Email)",Produtos que Fornece,Prazo de Entrega Típico,Forma de Pagamento Aceita,Valor Mínimo de Pedido
Ambev,Aplicativo,"Cervejas, refrigerantes, bebidas",24 horas,"Pix, boleto ",R$ 100
Philips,Site,Cigarro,24 horas,"Pix, boleto ",R$ 100
Sousa Cruz,Site,Cigarro,24 horas,"Pix, boleto ",R$ 100
Atento,Loja,"Bebidas, Cervejas, refrigerantes",Retiramos na loja,"Dinheiro, pix e cartão",Sem valor minimo
General,(11) 99344-4021,Cigarro,48 horas,Boleto,R$ 100
Mondelez Doces,(11) 96862-8748,Doces,24 horas,Boleto,R$ 100
Atacadão,Loja,"Cervejas, refrigerantes, bebidas",Retiramos na loja,"Dinheiro, pix e cartão",Sem valor minimo
Heineken,Aplicativo,Cervejas e refrigerantes,24 horas,"Dinheiro, pix e boleto",R$ 100
Itaipava,Aplicativo,Cervejas e refrigerantes,24 horas,"Dinheiro, pix, boleto e cartão",R$ 100
Melo bebibas,Loja,"Cervejas, refrigerantes, bebidas, tabacaria",Retiramos na loja,"Dinheiro, pix e cartão",Sem valor minimo
Castelo bebidas,Loja,"Cervejas, refrigerantes, bebidas, tabacaria",Retiramos na loja,"Dinheiro, pix e cartão",Sem valor minimo
Mesquita,Loja,"Cervejas, refrigerantes, bebidas, tabacaria",Retiramos na loja,"Dinheiro, pix e cartão",Sem valor minimo
Calaça,Aplicativo,Carvão,2 dias,Dinheiro e pix,R$ 200
Comercial de bebidas grande mix,Aplicativo,Bebidas,2 dias,Dinheiro e pix,R$ 200
Nargas essencias,,Tabacaria,24 horas,Dinheiro e pix,Sem valor minimo
Coca Cola,Aplicativo,Refrigerante e Cerveja,24 horas,Boleto,R$ 200
Alberto Belesso,WhatsApp ,Vinhos,2 dias,,
Comercial Bolsão ,,Draft,,,
Casa Di Conti,,Burguesa ,,,
